,date,description,actual hours,pay_period
49,2026-06-02,Field Work,13.0,2026-05-31
50,2026-06-01,Banked Time,8.0,2026-05-31
51,2026-05-29,Banked Time,8.0,2026-05-17
52,2026-05-28,Reporting,1.0,2026-05-17
53,2026-05-28,Admin-G (General),1.0,2026-05-17
54,2026-05-28,Training,7.0,2026-05-17
55,2026-05-27,Training,11.5,2026-05-17
56,2026-05-26,Banked Time,8.0,2026-05-17
57,2026-05-25,Reporting,5.5,2026-05-17
58,2026-05-25,Admin-G (General),0.5,2026-05-17
59,2026-05-25,Meetings,0.5,2026-05-17
60,2026-05-25,Meetings,0.5,2026-05-17
61,2026-05-25,Figures,1.0,2026-05-17
62,2026-05-22,Training,8.0,2026-05-17
63,2026-05-21,Meetings,0.5,2026-05-17
64,2026-05-21,Admin-G (General),0.5,2026-05-17
65,2026-05-21,Reporting,3.5,2026-05-17
66,2026-05-21,Reporting,1.0,2026-05-17
67,2026-05-21,Mob/Demob,0.5,2026-05-17
68,2026-05-21,Reporting,2.0,2026-05-17
69,2026-05-20,Figures,2.0,2026-05-17
70,2026-05-20,Reporting,2.0,2026-05-17
71,2026-05-20,Reporting,2.0,2026-05-17
72,2026-05-20,Mob/Demob,1.0,2026-05-17
73,2026-05-20,Admin-G (General),1.0,2026-05-17
74,2026-05-19,Banked Time,8.0,2026-05-17
75,2026-05-18,Statutory Holidays,8.0,2026-05-17
76,2026-05-17,Mob/Demob,1.0,2026-05-17
77,2026-05-16,Mob/Demob,8.0,2026-05-03
78,2026-05-16,Field Work,3.0,2026-05-03
79,2026-05-15,Field Work,8.0,2026-05-03
80,2026-05-14,Field Work,11.0,2026-05-03
81,2026-05-13,Field Work,13.0,2026-05-03
82,2026-05-12,Field Work,13.0,2026-05-03
83,2026-05-11,Field Work,13.0,2026-05-03
84,2026-05-10,Field Work,6.0,2026-05-03
85,2026-05-10,Mob/Demob,7.0,2026-05-03
86,2026-05-08,Meetings,4.0,2026-05-03
87,2026-05-08,Figures,4.0,2026-05-03
88,2026-05-07,Mob/Demob,3.0,2026-05-03
89,2026-05-07,Reporting,5.0,2026-05-03
90,2026-05-06,Reporting,4.0,2026-05-03
91,2026-05-06,Figures,3.0,2026-05-03
92,2026-05-06,Meetings,1.0,2026-05-03
93,2026-05-05,Meetings,0.5,2026-05-03
94,2026-05-05,Admin-G (General),0.5,2026-05-03
95,2026-05-05,Training,0.5,2026-05-03
96,2026-05-05,Figures,6.5,2026-05-03
97,2026-05-04,Banked Time,8.0,2026-05-03
98,2026-05-01,Reporting,8.0,2026-04-19
99,2026-04-30,Training,8.0,2026-04-19
100,2026-04-29,Training,8.0,2026-04-19
101,2026-04-28,Training,6.0,2026-04-19
102,2026-04-28,Training,2.0,2026-04-19
103,2026-04-27,Meetings,1.5,2026-04-19
104,2026-04-27,Figures,6.5,2026-04-19
105,2026-04-24,Training,4.5,2026-04-19
106,2026-04-24,Figures,0.5,2026-04-19
107,2026-04-24,Banked Time,3.0,2026-04-19
108,2026-04-23,Training,4.0,2026-04-19
109,2026-04-23,Training,4.0,2026-04-19
110,2026-04-22,Training,0.5,2026-04-19
111,2026-04-22,Figures,7.5,2026-04-19
112,2026-04-21,Training,2.0,2026-04-19
113,2026-04-21,Training,6.0,2026-04-19
114,2026-04-20,Training,6.5,2026-04-19
115,2026-04-20,Meetings,1.5,2026-04-19
116,2026-04-17,Mob/Demob,1.0,2026-04-05
117,2026-04-17,Banked Time,7.0,2026-04-05
118,2026-04-16,Field Work,2.0,2026-04-05
119,2026-04-16,Mob/Demob,1.0,2026-04-05
120,2026-04-16,Admin-D (Projects),5.0,2026-04-05
121,2026-04-15,Admin-D (Projects),5.0,2026-04-05
122,2026-04-15,Mob/Demob,2.0,2026-04-05
123,2026-04-15,Figures,1.0,2026-04-05
124,2026-04-14,Training,5.5,2026-04-05
125,2026-04-14,Admin-G (General),0.5,2026-04-05
126,2026-04-14,Training,2.0,2026-04-05
127,2026-04-13,Banked Time,8.0,2026-04-05
128,2026-04-11,Training,4.0,2026-04-05
129,2026-04-10,Training,11.0,2026-04-05
130,2026-04-09,Admin-D (Projects),5.5,2026-04-05
131,2026-04-09,Mob/Demob,2.0,2026-04-05
132,2026-04-09,Meetings,0.5,2026-04-05
133,2026-04-08,Admin-D (Projects),8.0,2026-04-05
134,2026-04-07,Mob/Demob,1.0,2026-04-05
135,2026-04-07,Meetings,1.0,2026-04-05
136,2026-04-07,Admin-D (Projects),2.0,2026-04-05
137,2026-04-07,Training,2.0,2026-04-05
138,2026-04-07,Training,2.0,2026-04-05
139,2026-04-06,Meetings,0.5,2026-04-05
140,2026-04-06,Training,1.5,2026-04-05
141,2026-04-06,Training,6.0,2026-04-05
142,2026-04-03,Statutory Holidays,8.0,2026-03-22
143,2026-04-02,Figures,8.0,2026-03-22
144,2026-04-01,Figures,2.5,2026-03-22
145,2026-04-01,Reporting,5.5,2026-03-22
146,2026-03-31,Mob/Demob,1.0,2026-03-22
147,2026-03-31,Reporting,7.0,2026-03-22
148,2026-03-30,Meetings,1.5,2026-03-22
149,2026-03-30,Reporting,6.5,2026-03-22
150,2026-03-27,Banked Time,4.0,2026-03-22
151,2026-03-27,Reporting,4.0,2026-03-22
152,2026-03-26,Reporting,7.0,2026-03-22
153,2026-03-26,Figures,0.5,2026-03-22
154,2026-03-26,Meetings,0.5,2026-03-22
155,2026-03-25,Reporting,1.5,2026-03-22
156,2026-03-25,Figures,6.5,2026-03-22
157,2026-03-24,Reporting,1.0,2026-03-22
158,2026-03-24,Figures,7.0,2026-03-22
159,2026-03-23,Figures,0.5,2026-03-22
160,2026-03-23,Training,7.0,2026-03-22
161,2026-03-23,Meetings,0.5,2026-03-22
162,2026-03-20,Training,5.0,2026-03-08
163,2026-03-20,Meetings,1.0,2026-03-08
164,2026-03-20,Figures,2.0,2026-03-08
165,2026-03-19,Training,8.0,2026-03-08
166,2026-03-18,Admin-G (General),0.5,2026-03-08
167,2026-03-18,Figures,2.0,2026-03-08
168,2026-03-18,Reporting,5.5,2026-03-08
169,2026-03-17,Banked Time,8.0,2026-03-08
170,2026-03-16,Banked Time,8.0,2026-03-08
171,2026-03-13,Sick Time,8.0,2026-03-08
172,2026-03-12,Sick Time,8.0,2026-03-08
173,2026-03-11,Reporting,5.0,2026-03-08
174,2026-03-11,Figures,3.0,2026-03-08
175,2026-03-10,Mob/Demob,2.0,2026-03-08
176,2026-03-10,Figures,1.0,2026-03-08
177,2026-03-10,Data Analysis,3.0,2026-03-08
178,2026-03-10,Figures,1.5,2026-03-08
179,2026-03-10,Meetings,0.5,2026-03-08
180,2026-03-09,Training,5.0,2026-03-08
181,2026-03-09,Meetings,2.5,2026-03-08
182,2026-03-09,Admin-G (General),0.5,2026-03-08
183,2026-03-07,Field Work,5.5,2026-02-22
184,2026-03-06,Field Work,12.0,2026-02-22
185,2026-03-05,Mob/Demob,3.0,2026-02-22
186,2026-03-05,Meetings,0.5,2026-02-22
187,2026-03-05,Data Analysis,4.5,2026-02-22
188,2026-03-04,Training,2.0,2026-02-22
189,2026-03-04,Admin-D (Projects),1.5,2026-02-22
190,2026-03-04,Mob/Demob,3.0,2026-02-22
191,2026-03-04,Figures,1.5,2026-02-22
192,2026-03-03,Admin-D (Projects),3.0,2026-02-22
193,2026-03-03,Figures,2.5,2026-02-22
194,2026-03-03,Meetings,0.5,2026-02-22
195,2026-03-03,Mob/Demob,2.0,2026-02-22
196,2026-03-02,Meetings,0.5,2026-02-22
197,2026-03-02,Admin-G (General),1.0,2026-02-22
198,2026-03-02,Figures,5.0,2026-02-22
199,2026-03-02,Admin-D (Projects),1.5,2026-02-22
200,2026-02-27,Training,1.0,2026-02-22
201,2026-02-27,Admin-D (Projects),5.0,2026-02-22
202,2026-02-27,Reporting,2.0,2026-02-22
203,2026-02-26,Figures,1.0,2026-02-22
204,2026-02-26,Reporting,7.0,2026-02-22
205,2026-02-25,Figures,3.0,2026-02-22
206,2026-02-25,Reporting,5.0,2026-02-22
207,2026-02-24,Reporting,6.0,2026-02-22
208,2026-02-24,Figures,2.0,2026-02-22
209,2026-02-23,Reporting,5.0,2026-02-22
210,2026-02-23,Meetings,1.5,2026-02-22
211,2026-02-23,Meetings,1.0,2026-02-22
212,2026-02-23,Data Analysis,0.5,2026-02-22
213,2026-02-20,Figures,3.0,2026-02-08
214,2026-02-20,Reporting,5.0,2026-02-08
215,2026-02-19,Admin-D (Projects),3.0,2026-02-08
216,2026-02-19,Figures,2.0,2026-02-08
217,2026-02-19,Reporting,3.0,2026-02-08
218,2026-02-18,Admin-D (Projects),4.0,2026-02-08
219,2026-02-18,Figures,4.0,2026-02-08
220,2026-02-17,Figures,5.0,2026-02-08
221,2026-02-17,Reporting,3.0,2026-02-08
222,2026-02-16,Statutory Holidays,8.0,2026-02-08
223,2026-02-13,Figures,1.0,2026-02-08
224,2026-02-13,Reporting,7.0,2026-02-08
225,2026-02-12,Admin-G (General),0.5,2026-02-08
226,2026-02-12,Figures,1.0,2026-02-08
227,2026-02-12,Reporting,6.5,2026-02-08
228,2026-02-11,Figures,2.5,2026-02-08
229,2026-02-11,Meetings,0.5,2026-02-08
230,2026-02-11,Review - QAQC,3.0,2026-02-08
231,2026-02-11,Reporting,2.0,2026-02-08
232,2026-02-10,Data Analysis,2.0,2026-02-08
233,2026-02-10,Meetings,0.5,2026-02-08
234,2026-02-10,Admin-D (Projects),5.5,2026-02-08
235,2026-02-09,Admin-D (Projects),5.5,2026-02-08
236,2026-02-09,Meetings,1.5,2026-02-08
237,2026-02-09,Training,1.0,2026-02-08
238,2026-02-06,Training,8.0,2026-01-25
239,2026-02-05,Meetings,4.0,2026-01-25
240,2026-02-05,Admin-D (Projects),4.0,2026-01-25
241,2026-02-04,Admin-D (Projects),8.0,2026-01-25
242,2026-02-03,Meetings,0.5,2026-01-25
243,2026-02-03,Training,5.5,2026-01-25
244,2026-02-03,Admin-D (Projects),2.0,2026-01-25
245,2026-02-02,Meetings,0.5,2026-01-25
246,2026-02-02,Admin-D (Projects),6.5,2026-01-25
247,2026-02-02,Mob/Demob,1.0,2026-01-25
248,2026-01-30,Admin-G (General),1.0,2026-01-25
249,2026-01-30,Banked Time,7.0,2026-01-25
250,2026-01-29,Banked Time,7.0,2026-01-25
251,2026-01-29,Mob/Demob,1.0,2026-01-25
252,2026-01-28,Mob/Demob,9.5,2026-01-25
253,2026-01-27,Field Work,2.0,2026-01-25
254,2026-01-27,Field Work,6.0,2026-01-25
255,2026-01-26,Field Work,11.0,2026-01-25
256,2026-01-25,Admin-G (General),0.5,2026-01-25
257,2026-01-24,Mob/Demob,4.0,2026-01-11
258,2026-01-24,Field Work,7.0,2026-01-11
259,2026-01-23,Mob/Demob,11.0,2026-01-11
260,2026-01-22,Mob/Demob,11.0,2026-01-11
261,2026-01-21,Mob/Demob,10.0,2026-01-11
262,2026-01-20,Mob/Demob,10.0,2026-01-11
263,2026-01-19,Mob/Demob,9.0,2026-01-11
264,2026-01-16,Training,1.5,2026-01-11
265,2026-01-16,Admin-G (General),0.5,2026-01-11
266,2026-01-16,Meetings,0.5,2026-01-11
267,2026-01-16,Data Analysis,4.0,2026-01-11
268,2026-01-16,Field Work,1.5,2026-01-11
269,2026-01-15,Data Analysis,6.0,2026-01-11
270,2026-01-15,Mob/Demob,2.0,2026-01-11
271,2026-01-14,Meetings,1.0,2026-01-11
272,2026-01-14,Meetings,0.5,2026-01-11
273,2026-01-14,Mob/Demob,3.5,2026-01-11
274,2026-01-14,Data Analysis,3.0,2026-01-11
275,2026-01-13,Mob/Demob,4.0,2026-01-11
276,2026-01-13,Figures,4.0,2026-01-11
277,2026-01-12,Meetings,0.5,2026-01-11
278,2026-01-12,Meetings,0.25,2026-01-11
279,2026-01-12,Training,2.0,2026-01-11
280,2026-01-12,Meetings,1.0,2026-01-11
281,2026-01-12,Figures,4.25,2026-01-11
282,2026-01-09,Admin-D (Projects),6.5,2025-12-28
283,2026-01-09,Training,1.5,2025-12-28
284,2026-01-08,Training,2.0,2025-12-28
285,2026-01-08,Admin-D (Projects),3.5,2025-12-28
286,2026-01-08,Meetings,1.0,2025-12-28
287,2026-01-08,Admin-G (General),1.5,2025-12-28
288,2026-01-07,Sick Time,8.0,2025-12-28
289,2026-01-06,Sick Time,8.0,2025-12-28
290,2026-01-05,Sick Time,8.0,2025-12-28
291,2026-01-02,Banked Time,8.0,2025-12-28
292,2026-01-01,Statutory Holidays,8.0,2025-12-28
293,2025-12-31,Banked Time,8.0,2025-12-28
294,2025-12-30,Banked Time,8.0,2025-12-28
295,2025-12-29,Banked Time,8.0,2025-12-28
296,2025-12-27,Banked Time,8.0,2025-12-14
297,2025-12-26,Admin-G (General),8.0,2025-12-14
298,2025-12-25,Statutory Holidays,8.0,2025-12-14
299,2025-12-24,Sick Time,8.0,2025-12-14
300,2025-12-23,Meetings,5.0,2025-12-14
301,2025-12-23,Figures,1.0,2025-12-14
302,2025-12-23,Admin-G (General),2.0,2025-12-14
303,2025-12-22,Reporting,3.0,2025-12-14
304,2025-12-22,Meetings,0.5,2025-12-14
305,2025-12-22,Figures,2.5,2025-12-14
306,2025-12-22,Mob/Demob,2.0,2025-12-14
307,2025-12-19,Field Work,12.0,2025-12-14
308,2025-12-18,Field Work,12.0,2025-12-14
309,2025-12-17,Field Work,12.0,2025-12-14
310,2025-12-16,Mob/Demob,0.5,2025-12-14
311,2025-12-16,Meetings,2.5,2025-12-14
312,2025-12-16,Sick Time,5.0,2025-12-14
313,2025-12-15,Banked Time,8.0,2025-12-14
314,2025-12-12,Data Analysis,3.5,2025-11-30
315,2025-12-12,Mob/Demob,4.5,2025-11-30
316,2025-12-11,Mob/Demob,7.0,2025-11-30
317,2025-12-11,Meetings,1.0,2025-11-30
318,2025-12-10,Meetings,1.0,2025-11-30
319,2025-12-10,Meetings,0.5,2025-11-30
320,2025-12-10,Mob/Demob,1.0,2025-11-30
321,2025-12-10,Mob/Demob,5.5,2025-11-30
322,2025-12-09,Meetings,1.0,2025-11-30
323,2025-12-09,Admin-D (Projects),1.5,2025-11-30
324,2025-12-09,Meetings,0.5,2025-11-30
325,2025-12-09,Mob/Demob,5.0,2025-11-30
326,2025-12-08,Mob/Demob,1.0,2025-11-30
327,2025-12-08,Admin-D (Projects),3.0,2025-11-30
328,2025-12-08,Mob/Demob,1.0,2025-11-30
329,2025-12-08,Data Analysis,3.0,2025-11-30
330,2025-12-05,Mob/Demob,1.0,2025-11-30
331,2025-12-05,Data Analysis,3.0,2025-11-30
332,2025-12-05,Admin-D (Projects),4.0,2025-11-30
333,2025-12-04,Mob/Demob,1.5,2025-11-30
334,2025-12-04,Data Analysis,6.5,2025-11-30
335,2025-12-03,Admin-G (General),0.5,2025-11-30
336,2025-12-03,Banked Time,7.0,2025-11-30
337,2025-12-03,Meetings,0.5,2025-11-30
338,2025-12-02,Banked Time,8.0,2025-11-30
339,2025-12-01,Mob/Demob,11.0,2025-11-30
340,2025-11-30,Field Work,8.5,2025-11-30
341,2025-11-29,Field Work,10.5,2025-11-16
342,2025-11-28,Field Work,9.0,2025-11-16
343,2025-11-27,Field Work,9.75,2025-11-16
344,2025-11-26,Field Work,9.5,2025-11-16
345,2025-11-25,Field Work,9.5,2025-11-16
346,2025-11-24,Admin-D (Projects),0.5,2025-11-16
347,2025-11-24,Mob/Demob,9.0,2025-11-16
348,2025-11-21,Training,4.0,2025-11-16
349,2025-11-21,Mob/Demob,3.5,2025-11-16
350,2025-11-21,Meetings,0.5,2025-11-16
351,2025-11-20,Training,1.5,2025-11-16
352,2025-11-20,Meetings,1.5,2025-11-16
353,2025-11-20,Data Analysis,4.0,2025-11-16
354,2025-11-20,Mob/Demob,1.0,2025-11-16
355,2025-11-19,Field Work,5.0,2025-11-16
356,2025-11-19,Admin-G (General),1.0,2025-11-16
357,2025-11-19,Mob/Demob,1.0,2025-11-16
358,2025-11-19,Figures,1.0,2025-11-16
359,2025-11-18,Admin-D (Projects),1.0,2025-11-16
360,2025-11-18,Figures,3.0,2025-11-16
361,2025-11-18,Data Analysis,3.0,2025-11-16
362,2025-11-18,Mob/Demob,1.0,2025-11-16
363,2025-11-17,Meetings,0.5,2025-11-16
364,2025-11-17,Mob/Demob,1.0,2025-11-16
365,2025-11-17,Banked Time,2.0,2025-11-16
366,2025-11-17,Data Analysis,4.5,2025-11-16
367,2025-11-16,Mob/Demob,3.5,2025-11-16
368,2025-11-15,Field Work,9.0,2025-11-02
369,2025-11-14,Field Work,8.0,2025-11-02
370,2025-11-13,Mob/Demob,2.0,2025-11-02
371,2025-11-13,Meetings,1.0,2025-11-02
372,2025-11-13,Figures,5.0,2025-11-02
373,2025-11-12,Meetings,0.5,2025-11-02
374,2025-11-12,Figures,7.5,2025-11-02
375,2025-11-11,Statutory Holidays,8.0,2025-11-02
376,2025-11-10,Admin-G (General),0.5,2025-11-02
377,2025-11-10,Mob/Demob,2.0,2025-11-02
378,2025-11-10,Figures,5.5,2025-11-02
379,2025-11-07,Mob/Demob,4.0,2025-11-02
380,2025-11-07,Admin-G (General),1.0,2025-11-02
381,2025-11-07,Figures,1.5,2025-11-02
382,2025-11-07,Meetings,1.5,2025-11-02
383,2025-11-06,Admin-D (Projects),8.0,2025-11-02
384,2025-11-05,Admin-D (Projects),8.0,2025-11-02
385,2025-11-04,Admin-G (General),0.5,2025-11-02
386,2025-11-04,Admin-D (Projects),7.5,2025-11-02
387,2025-11-03,Admin-G (General),1.5,2025-11-02
388,2025-11-03,Meetings,0.5,2025-11-02
389,2025-11-03,Admin-D (Projects),6.0,2025-11-02
390,2025-10-31,Admin-D (Projects),1.0,2025-10-19
391,2025-10-31,Mob/Demob,3.0,2025-10-19
392,2025-10-31,Field Work,4.0,2025-10-19
393,2025-10-30,Admin-G (General),1.0,2025-10-19
394,2025-10-30,Training,5.0,2025-10-19
395,2025-10-30,Mob/Demob,2.0,2025-10-19
396,2025-10-29,Training,12.0,2025-10-19
397,2025-10-28,Field Work,12.0,2025-10-19
398,2025-10-27,Training,12.0,2025-10-19
399,2025-10-24,Mob/Demob,1.0,2025-10-19
400,2025-10-24,Field Work,11.0,2025-10-19
401,2025-10-23,Training,11.0,2025-10-19
402,2025-10-22,Admin-D (Projects),2.0,2025-10-19
403,2025-10-22,Data Analysis,2.0,2025-10-19
404,2025-10-22,Mob/Demob,4.0,2025-10-19
405,2025-10-21,Admin-D (Projects),3.5,2025-10-19
406,2025-10-21,Training,1.0,2025-10-19
407,2025-10-21,Data Analysis,3.5,2025-10-19
408,2025-10-20,Banked Time,4.0,2025-10-19
409,2025-10-20,Meetings,1.5,2025-10-19
410,2025-10-20,Admin-D (Projects),1.0,2025-10-19
411,2025-10-20,Admin-G (General),1.5,2025-10-19
412,2025-10-18,Training,9.5,2025-10-05
413,2025-10-17,Training,12.0,2025-10-05
414,2025-10-16,Training,11.0,2025-10-05
415,2025-10-15,Training,11.0,2025-10-05
416,2025-10-14,Field Work,11.0,2025-10-05
417,2025-10-13,Statutory Holidays,8.0,2025-10-05
418,2025-10-10,Field Work,6.75,2025-10-05
419,2025-10-10,Admin-G (General),1.0,2025-10-05
420,2025-10-10,Meetings,1.0,2025-10-05
421,2025-10-09,Field Work,11.5,2025-10-05
422,2025-10-08,Training,5.5,2025-10-05
423,2025-10-08,Meetings,1.5,2025-10-05
424,2025-10-08,Data Analysis,1.0,2025-10-05
425,2025-10-07,Field Work,10.0,2025-10-05
426,2025-10-06,Field Work,9.5,2025-10-05
427,2025-10-04,Training,5.0,2025-09-21
428,2025-10-04,Training,5.5,2025-09-21
429,2025-10-03,Training,6.5,2025-09-21
430,2025-10-03,Admin-D (Projects),1.5,2025-09-21
431,2025-10-02,Training,8.0,2025-09-21
432,2025-10-02,Field Work,2.0,2025-09-21
433,2025-10-01,Field Work,11.0,2025-09-21
434,2025-09-30,Statutory Holidays,0.0,2025-09-21
435,2025-09-29,Field Work,11.0,2025-09-21
436,2025-09-26,Field Work,10.0,2025-09-21
437,2025-09-25,Field Work,11.0,2025-09-21
438,2025-09-24,Data Analysis,4.5,2025-09-21
439,2025-09-24,Data Analysis,1.5,2025-09-21
440,2025-09-24,Admin-D (Projects),0.5,2025-09-21
441,2025-09-24,Admin-D (Projects),1.5,2025-09-21
442,2025-09-23,Training,1.0,2025-09-21
443,2025-09-23,Data Analysis,1.0,2025-09-21
444,2025-09-23,Data Analysis,5.0,2025-09-21
445,2025-09-23,Meetings,1.0,2025-09-21
446,2025-09-22,Data Analysis,1.0,2025-09-21
447,2025-09-22,Meetings,0.5,2025-09-21
448,2025-09-22,Training,6.5,2025-09-21
449,2025-09-19,Training,8.0,2025-09-07
450,2025-09-18,Training,6.5,2025-09-07
451,2025-09-18,Figures,1.5,2025-09-07
452,2025-09-17,Training,8.0,2025-09-07
453,2025-09-16,Training,8.0,2025-09-07
454,2025-09-15,Training,8.0,2025-09-07
